"STUDY.ACCESSION","PUBMED.ID","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","MAPPED_TRAIT","NUMBER.OF.INDIVIDUALS","BROAD.ANCESTRAL.CATEGORY"
"GCST000011",17223258,"Lung cancer","338 European ancestry lung adenocarcinoma cases, 335 European ancestry controls","lung carcinoma",673,"European"
"GCST000017",17401363,"Prostate cancer","1,172 European ancestry cases, 1,157 European ancestry controls","prostate carcinoma",2329,"European"
"GCST000019",17401366,"Prostate cancer","1,453 European ancestry cases, 3,064 European ancestry controls","prostate carcinoma",4517,"European"
"GCST000035",17529967,"Breast cancer","390 European ancestry cases, 364 European ancestry controls","breast carcinoma",754,"European"
"GCST000036",17529973,"Breast cancer","1,145 European ancestry cases, 1,142 European ancestry controls","breast carcinoma",2287,"European"
"GCST000037",17529974,"Breast cancer","1,599 European ancestry cases, 11,546 European ancestry controls","breast carcinoma",13145,"European"
"GCST000050",17603485,"Prostate cancer","1,501 European ancestry cases, 11,290 European ancestry controls","prostate carcinoma",12791,"European"
"GCST000052",17618283,"Colorectal cancer","1,257 cases, 1,336 controls","colorectal cancer",2194,"NR"
"GCST000053",17618284,"Colorectal cancer","930 European ancestry cases, 960 European ancestry controls","colorectal cancer",1890,"European"
"GCST000079",17903305,"Breast cancer","58 cases, 665 controls","breast carcinoma",723,"NR"
"GCST000095",17903305,"Prostate cancer","59 cases, 558 controls","prostate carcinoma",617,"NR"
"GCST000113",17934461,"Colorectal cancer","930 European ancestry cases, 960 European ancestry controls","colorectal cancer",1890,"European"
"GCST000128",18073375,"Prostate cancer","1,235 European ancestry cases, 1,599 European ancestry controls","prostate carcinoma",2834,"European"
"GCST000152",18264097,"Prostate cancer","1,854 European ancestry cases, 1,894 European ancestry controls","prostate carcinoma",3748,"European"
"GCST000153",18264098,"Prostate cancer","1,854 European ancestry cases, 21,372 European ancestry controls","prostate carcinoma",23226,"European"
"GCST000154",18264096,"Prostate cancer","1,172 European ancestry cases, 1,157 European ancestry controls","prostate carcinoma",2329,"European"
"GCST000162",18326623,"Breast cancer","249 Ashkenazi Jewish non-BRCA1/2 carriers cases, 299 Ashkenazi Jewish non-BRCA1/2 carriers controls","breast carcinoma",548,"European"
"GCST000168",18372901,"Colorectal cancer","981 European ancestry cases, 1,002 European ancestry controls","colorectal cancer",1983,"European"
"GCST000169",18372905,"Colorectal cancer","922 European ancestry cases, 927 European ancestry controls","colorectal cancer",1849,"European"
"GCST000170",18385738,"Lung cancer","1,926 European ance other ancestry cases, 2,522 European and other ancestry controls","lung carcinoma",4448,"European, Other"
"GCST000172",18385676,"Lung cancer","1,154 European ancestry cases, 1,137 European ancestry controls","lung carcinoma",2291,"European"
"GCST000187",18463975,"Breast cancer","26 European ancestry cases, 3 Hispanic cases, 1 African American case, 26 European ancestry controls, 3 Hispanic controls, 1 African American control","breast carcinoma",52,"European"
"GCST000187",18463975,"Breast cancer","26 European ancestry cases, 3 Hispanic cases, 1 African American case, 26 European ancestry controls, 3 Hispanic controls, 1 African American control","breast carcinoma",2,"African American or Afro-Caribbean"
"GCST000187",18463975,"Breast cancer","26 European ancestry cases, 3 Hispanic cases, 1 African American case, 26 European ancestry controls, 3 Hispanic controls, 1 African American control","breast carcinoma",6,"Hispanic or Latin American"
"GCST000188",18463370,"Neuroblastoma","1,032 European ancestry cases, 2,043 European ancestry controls","neuroblastoma",3075,"European"
"GCST000198",18488026,"Melanoma","864 European ancestry cases, 864 European ancestry controls","melanoma",1728,"European"
"GCST000223",18729187,"Lung adenocarcinoma","482 European ancestry cases, 522 European ancestry controls","lung adenocarcinoma",1004,"European"
"GCST000224",18758461,"Chronic lymphocytic leukemia","505 European ancestry cases, 1,438 European ancestry controls","chronic lymphocytic leukemia",1943,"European"
"GCST000231",18794855,"Urinary bladder cancer","1,803 European ancestry cases, 34,336 European ancestry controls","urinary bladder carcinoma",36139,"European"
"GCST000233",18780872,"Lung cancer","194 European ancestry cases, 219 European ancestry controls","lung carcinoma",413,"European"
"GCST000238",18835860,"Idiopathic pulmonary fibrosis","159 Japanese ancestry cases, 934 Japanese ancestry controls","idiopathic pulmonary fibrosis",1093,"East Asian"
"GCST000249",18849993,"Basal cell carcinoma","930 European ancestry cases, 33,117 European ancestry controls","basal cell carcinoma",34047,"European"
"GCST000256",18978790,"Lung cancer","2,971 European ancestry cases, 3,746 European ancestry controls","lung carcinoma",6717,"European"
"GCST000257",18978787,"Lung cancer","5,095 European ancestry cases, 5,200 European ancestry controls","lung carcinoma",10295,"European"
"GCST000270",19011631,"Colorectal cancer","1,902 European ancestry cases, 1,929 European ancestry controls","colorectal cancer",3831,"European"
"GCST000307",19117981,"Prostate cancer","1,235 European ancestry aggressive cases, 1,599 European ancestry controls","prostate carcinoma",2834,"European"
"GCST000318",19151717,"Basal cell carcinoma","1,505 European ancestry cases, 28,890 European ancestry controls","basal cell carcinoma",30395,"European"
"GCST000323",19176441,"Response to treatment for acute lymphoblastic leukemia","356 European ancestry cases, 53 Black cases, 78 cases","acute lymphoblastic leukemia, response to antineoplastic agent",356,"European"
"GCST000323",19176441,"Response to treatment for acute lymphoblastic leukemia","356 European ancestry cases, 53 Black cases, 78 cases","acute lymphoblastic leukemia, response to antineoplastic agent",53,"African unspecified"
"GCST000323",19176441,"Response to treatment for acute lymphoblastic leukemia","356 European ancestry cases, 53 Black cases, 78 cases","acute lymphoblastic leukemia, response to antineoplastic agent",78,"Other"
"GCST000335",19198613,"Thyroid cancer","192 European ancestry cases, 37,196 European ancestry controls","thyroid carcinoma",37388,"European"
"GCST000343",19219042,"Breast cancer","1,505 Chinese ancestry cases, 1,522 Chinese ancestry controls","breast carcinoma",3027,"East Asian"
"GCST000357",19287384,"Myeloproliferative neoplasms","324 European ancestry cases, 2,999 European ancestry controls","myeloproliferative disorder",3323,"European"
"GCST000365",19330030,"Breast cancer","1,145 European ancestry cases, 1,142 European ancestry controls","breast carcinoma",2287,"European"
"GCST000384",19412175,"Neuroblastoma (high-risk)","397 European ancestry cases, 2,043 European ancestry controls","neuroblastoma",2440,"European"
"GCST000408",19458352,"Primary biliary cholangitis","505 European ancestry cases, 1,507 European ancestry controls","biliary liver cirrhosis",2012,"European"
"GCST000413",19478819,"Nasopharyngeal carcinoma","111 Malaysian Chinese ancestry cases, 260 Malaysian Chinese ancestry controls","nasopharyngeal neoplasm",371,"East Asian"
"GCST000414",19483681,"Testicular germ cell tumor","730 cases, 1,435 controls","testicular carcinoma",2165,"European"
"GCST000416",19483682,"Testicular cancer","277 European ancestry cases, 919 European ancestry controls","testicular carcinoma",1196,"European"
"GCST000437",19578364,"Melanoma","1,539 European ancestry cases, 3,917 European ancestry controls","melanoma",5456,"European"
"GCST000438",19578365,"Cutaneous nevi","1,524 European ancestry twins","nevus",1524,"European"
"GCST000439",19578367,"Glioma","1,878 European ancestry cases, 3,670 European ancestry controls","central nervous system cancer",5548,"European"
"GCST000440",19578366,"Glioma (high-grade)","692 European ancestry cases, 3,992 European ancestry controls","central nervous system cancer",4684,"European"
"GCST000448",19620980,"Follicular lymphoma","189 European ancestry cases, 592 European controls","neoplasm of mature B-cells",781,"European"
"GCST000454",19648920,"Bladder cancer","969 European ancestry cases, 957 European ancestry controls","urinary bladder carcinoma",1926,"European"
"GCST000455",19648919,"Ovarian cancer","1,817 European ancestry cases, 2,353 European ancestry controls","ovarian carcinoma",4170,"European"
"GCST000456",19648918,"Pancreatic cancer","1,771 European ancestry cases, 1,805 European ancestry controls","pancreatic carcinoma",3576,"European"
"GCST000459",19654303,"Lung cancer","1,952 European ancestry cases, 1,438 European ancestry controls","lung carcinoma",3390,"European"
"GCST000460",19664746,"Nasopharyngeal carcinoma","277 Han Chinese ancestry cases, 285 Han Chinese ancestry controls","nasopharyngeal neoplasm",562,"East Asian"
"GCST000463",19684604,"Acute lymphoblastic leukemia (childhood)","907 European ancestry cases, 2,398 European ancestry controls","acute lymphoblastic leukemia",3305,"European"
"GCST000464",19684603,"Acute lymphoblastic leukemia (childhood)","317 European ancestry cases, 17,958 European ancestry controls","acute lymphoblastic leukemia",19275,"European"
"GCST000466",19698717,"Esophageal cancer","182 Japanese ancestry cases, 927 Japanese ancestry controls","esophageal carcinoma",1109,"East Asian"
"GCST000472",19723657,"Colorectal cancer","921 European ancestry cases, 929 European ancestry controls","colorectal cancer",1850,"European"
"GCST000488",19767753,"Prostate cancer","1,854 European ancestry cases, 1,894 European ancestry controls","prostate carcinoma",3748,"European"
"GCST000489",19767754,"Prostate cancer","Up to 1,968 European ancestry cases, 35,382 European ancestry controls","prostate carcinoma",37350,"European"
"GCST000506",19836008,"Lung adenocarcinoma","5,739 European ancestry cases, 5,848 European ancestry controls","lung adenocarcinoma",11587,"European"
"GCST000574",20101243,"Pancreatic cancer","3,851 European, Chinese and other ancestry cases, 3,934 European, Chinese and other ancestry controls","pancreatic carcinoma",369,"Other"
"GCST000574",20101243,"Pancreatic cancer","3,851 European, Chinese and other ancestry cases, 3,934 European, Chinese and other ancestry controls","pancreatic carcinoma",126,"East Asian"
"GCST000574",20101243,"Pancreatic cancer","3,851 European, Chinese and other ancestry cases, 3,934 European, Chinese and other ancestry controls","pancreatic carcinoma",7416,"European"
"GCST000608",20189245,"Acute lymphoblastic leukemia (childhood)","45 Korean ancestry cases, 48 Korean ancestry controls","acute lymphoblastic leukemia",93,"East Asian"
"GCST000633",20304703,"Lung cancer","364 European ancestry cases, 364 European ancestry controls, 13 cases, 13 controls","lung carcinoma",26,"Other"
"GCST000633",20304703,"Lung cancer","364 European ancestry cases, 364 European ancestry controls, 13 cases, 13 controls","lung carcinoma",728,"European"
"GCST000637",20332263,"Breast cancer (prognosis)","1,145 female individuals","breast carcinoma",1145,"NR"
"GCST000639",20348956,"Urinary bladder cancer","1,889 European ancestry cases, 39,310 European ancestry controls","urinary bladder carcinoma",41199,"European"
"GCST000640",20350937,"Thyroid cancer (Papillary, radiation-related)","401 European ancestry cases, 620 European ancestry controls","thyroid carcinoma",1021,"European"
"GCST000678",20453838,"Breast cancer","3,659 European ancestry cases, 4,897 European ancestry controls","breast carcinoma",8556,"European"
"GCST000686",20484958,"Pancreatic cancer","97 European ancestry cases, 93 European ancestry controls","pancreatic carcinoma",190,"European"
"GCST000687",20512145,"Nasopharyngeal carcinoma","1,583 Chinese ancestry cases, 1,894 Chinese ancestry controls","nasopharyngeal neoplasm",3477,"East Asian"
"GCST000701",20543847,"Testicular germ cell cancer","979 European ancestry cases, 4,947 European ancestry controls","testicular carcinoma",5926,"European"
"GCST000709",20585626,"Breast cancer","2,073 Chinese ancestry cases, 2,084 Chinese ancestry controls","breast carcinoma",4157,"East Asian"
"GCST000722",20610541,"Colorectal cancer","371 European ancestry cases, 1,263 European ancestry controls","colorectal cancer",1634,"European"
"GCST000733",20639880,"Primary biliary cholangitis","453 European ancestry cases, 945 European ancestry controls,","biliary liver cirrhosis",1398,"European"
"GCST000734",20639881,"Follicular lymphoma","681 European ancestry cases, 750 European ancestry controls","neoplasm of mature B-cells",1431,"European"
"GCST000745",20686608,"Pancreatic cancer","991 Japanese ancestry cases, 5,209 Japanese ancestry controls","pancreatic carcinoma",6200,"East Asian"
"GCST000749",20670164,"Acute lymphoblastic leukemia (childhood)","8 Japanese ancestry cases","acute lymphoblastic leukemia",8,"East Asian"
"GCST000750",20676098,"Prostate cancer","1,583 Japanese ancestry cases, 3,386 Japanese ancestry controls","prostate carcinoma",4969,"East Asian"
"GCST000752",20676096,"Hepatocellular carcinoma","348 Chinese ancestry cases, 359 Chinese ancestry controls","hepatocellular carcinoma",707,"East Asian"
"GCST000761",20700438,"Lung adenocarcinoma","584 East Asian ancestry cases, 585 East Asian ancestry controls","lung adenocarcinoma",1169,"East Asian"
"GCST000765",20708005,"Non-alcoholic fatty liver disease histology (other)","236 European ancestry cases","serum alanine aminotransferase measurement, non-alcoholic fatty liver disease, cirrhosis of liver",236,"European"
"GCST000766",20708005,"Non-alcoholic fatty liver disease histology (lobular)","236 European ancestry cases","non-alcoholic fatty liver disease, cirrhosis of liver",236,"European"
"GCST000767",20708005,"Non-alcoholic fatty liver disease histology (AST)","236 European ancestry cases","non-alcoholic fatty liver disease, cirrhosis of liver",236,"European"
"GCST000776",20729853,"Esophageal cancer","1,077 Han Chinese ancestry cases, 1,733 Han Chinese ancestry controls","esophageal carcinoma",2810,"East Asian"
"GCST000777",20729852,"Esophageal cancer and gastric cancer","1,625 Chinese ancestry gastric cancer cases, 1,898 Chinese ancestry ESCC cases, 2,100 Chinese ancestry controls","esophageal carcinoma, gastric carcinoma",5623,"East Asian"
"GCST000800",20852633,"Ovarian cancer","1,768 European ancestry cases, 2,353 European ancestry controls","ovarian carcinoma",4121,"European"
"GCST000801",20852631,"Breast cancer","1,193 European ancestry cases, 1,190 European ancestry controls","breast carcinoma",2383,"European"
"GCST000802",20852632,"Ovarian cancer","1,768 European ancestry cases, 2,354 European ancestry controls","ovarian carcinoma",4122,"European"
"GCST000810",20871597,"Lung adenocarcinoma","1,004 Japanese ancestry cases, 1,900 Japanese ancestry controls","lung adenocarcinoma",2904,"East Asian"
"GCST000811",20872241,"Breast cancer","2,702 European ancestry female cases, 5,726 European ancestry controls","breast carcinoma",8428,"European"
